Student_ID,Course_ID,Login_Frequency,Time_Spent_Modules,Participation_Forums,Quiz_Performance_Average,Assignment_Submissions,Resource_Access_Frequency,Session_Duration_Average,Device_Type,Internet_Bandwidth,Engagement_Level,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
S0139,C155,7,26.3,47,67.5,6,76,72.3,Mobile,49.1,Inactive,21,96,Medium,Medium,No,8,64,High,Yes,2,Medium,High,Public,Neutral,0,No,College,Near,Male,71
S0140,C175,10,12.9,24,98.8,1,58,93.2,Mobile,69.6,Inactive,28,61,Medium,High,No,6,86,High,Yes,1,Low,Medium,Private,Negative,3,Yes,Postgraduate,Far,Male,65
S0141,C152,9,9.2,21,69.6,4,71,20.3,Tablet,42.6,Inactive,10,82,Medium,Low,No,8,70,Medium,Yes,3,Low,High,Public,Positive,1,Yes,Postgraduate,Near,Female,64
S0142,C147,12,18.9,12,59.7,7,55,66.7,Laptop,97.6,Inactive,21,91,High,Medium,No,6,100,Medium,Yes,0,High,Medium,Private,Neutral,2,No,Postgraduate,Near,Female,72
S0143,C129,7,28.4,18,78,7,96,49.7,Laptop,73.6,Inactive,22,82,Medium,Medium,No,9,61,Medium,Yes,2,Low,Medium,Public,Negative,2,Yes,High School,Near,Female,65
S0144,C118,9,22.4,48,54.4,2,12,105.3,Tablet,67.4,Inactive,25,73,Medium,High,No,8,53,High,No,0,Low,High,Private,Negative,5,No,Postgraduate,Near,Female,66
S0145,C166,8,19.3,35,44.6,6,38,91.6,Laptop,76.9,Inactive,13,65,Low,High,No,6,99,Medium,Yes,0,Low,Medium,Private,Negative,4,No,High School,Near,Male,61
S0146,C164,12,7.4,11,47.7,2,39,78.9,Laptop,95.5,Inactive,12,96,Low,High,Yes,8,62,Medium,Yes,2,Medium,High,Public,Negative,3,No,College,Near,Female,68
S0147,C112,2,20.4,40,47.7,5,92,47.7,Mobile,91.2,Inactive,23,79,High,High,Yes,8,82,Low,Yes,3,Medium,Medium,Public,Negative,3,Yes,Postgraduate,Moderate,Female,69
S0148,C197,1,29.8,18,49.1,5,82,111,Mobile,73.8,Inactive,22,95,Medium,High,Yes,6,69,Medium,Yes,1,Low,Medium,Public,Positive,3,No,College,Near,Female,72
S0149,C107,7,8.5,11,48.3,2,36,24.5,Mobile,76.2,Inactive,22,83,Medium,High,Yes,5,82,Medium,Yes,2,Low,High,Public,Positive,3,No,Postgraduate,Near,Female,71
S0150,C115,7,18,8,78.5,6,50,30.9,Laptop,18.9,Inactive,22,87,High,High,No,5,80,Low,Yes,2,Low,High,Public,Negative,3,No,High School,Near,Female,70
S0151,C120,14,26.9,6,50.9,2,20,59.2,Mobile,14.8,Inactive,16,92,Medium,High,Yes,5,85,Low,Yes,1,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,68
S0152,C181,8,23.5,27,60.7,7,72,32.4,Tablet,59.2,Inactive,21,86,Low,Medium,Yes,5,51,Medium,Yes,2,Low,High,Public,Positive,2,No,High School,Moderate,Female,67
S0153,C121,5,22.4,13,93.8,9,41,115.6,Laptop,6.7,Inactive,22,76,Medium,Medium,Yes,8,92,Medium,Yes,1,Low,High,Public,Neutral,4,No,High School,Near,Female,68
S0154,C188,3,22.6,30,68.4,3,58,99.8,Laptop,50.8,Inactive,16,81,Medium,Medium,Yes,8,74,Medium,Yes,3,Medium,Medium,Public,Positive,2,No,Postgraduate,Near,Female,68
S0155,C155,12,14,18,80.1,0,89,45.9,Mobile,25,Inactive,31,92,Medium,Medium,Yes,4,76,Medium,Yes,2,Medium,High,Public,Positive,4,Yes,High School,Far,Male,72
S0156,C177,8,12.3,46,50.3,3,18,78.9,Tablet,37.9,Inactive,23,75,Low,High,No,6,71,Low,Yes,0,Medium,Medium,Public,Neutral,2,No,College,Near,Male,65
S0157,C109,6,25.2,15,51.5,6,99,118.2,Mobile,78.7,Inactive,13,76,Medium,High,No,5,99,Low,Yes,2,Medium,Medium,Private,Positive,4,No,High School,Near,Female,66
S0158,C150,11,25.3,4,42.5,3,59,108.4,Mobile,94.4,Inactive,24,64,Medium,Medium,Yes,8,90,High,Yes,0,Low,High,Public,Negative,3,No,High School,Near,Male,65
S0159,C149,3,26.7,34,50.1,5,52,80.1,Laptop,11.9,Inactive,14,97,Medium,Medium,Yes,6,66,Medium,Yes,2,Medium,Medium,Public,Negative,3,Yes,College,Near,Female,67
S0160,C177,1,27.8,11,56.7,8,86,110.4,Laptop,55.8,Inactive,25,64,Medium,High,No,5,89,Low,Yes,2,Medium,Medium,Public,Neutral,4,No,College,Far,Male,66
S0161,C160,3,17.8,24,50.6,0,11,118.9,Mobile,88.8,Inactive,27,86,Medium,Medium,No,7,72,Low,Yes,1,Medium,High,Public,Positive,4,No,High School,Far,Male,69
S0162,C168,5,17.5,20,45.3,4,78,94.3,Laptop,12.8,Inactive,15,77,Medium,Medium,Yes,8,94,Low,Yes,0,High,High,Public,Positive,3,No,College,Moderate,Male,66
S0163,C133,14,25,35,47.2,6,11,26.5,Laptop,83.3,Inactive,26,76,Medium,High,Yes,6,52,Medium,Yes,4,High,Low,Public,Neutral,3,No,High School,Near,Male,69
S0164,C171,3,21.2,22,67.6,0,37,60.2,Laptop,39,Inactive,22,87,High,Low,Yes,7,68,Medium,No,0,Low,Medium,Public,Neutral,2,No,High School,Near,Male,67
S0165,C102,1,22.5,15,52.4,3,27,103.8,Mobile,35.6,Inactive,25,63,High,Medium,Yes,6,71,Medium,Yes,1,Medium,Low,Private,Positive,3,No,High School,Near,Male,66
S0166,C188,5,24.9,38,61.9,5,89,43.1,Laptop,97.9,Inactive,31,84,Medium,Medium,Yes,9,87,Medium,Yes,2,Low,Medium,Private,Neutral,3,No,College,Far,Male,71
S0167,C193,10,27.3,44,70.2,1,23,103.1,Mobile,24.1,Inactive,19,91,High,Low,No,6,59,Medium,Yes,5,Medium,High,Public,Neutral,4,No,College,Moderate,Male,70
S0168,C115,7,13.4,41,81.4,9,23,32,Laptop,70.9,Inactive,15,93,High,Medium,No,6,64,Medium,Yes,2,Medium,High,Public,Positive,4,No,Postgraduate,Near,Male,71
S0169,C188,14,14.4,38,42.4,4,40,24.7,Tablet,83,Inactive,15,67,Medium,Medium,Yes,7,86,High,Yes,1,High,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66
S0170,C169,7,7.3,13,88,9,33,58.4,Laptop,8.9,Inactive,15,96,Medium,Medium,No,7,54,High,No,3,Medium,High,Public,Negative,2,No,High School,Near,Male,67
S0171,C197,11,19.5,30,77.7,0,64,23.7,Mobile,68.7,Inactive,20,86,High,Low,No,8,60,Medium,Yes,1,Medium,Medium,Public,Neutral,4,Yes,College,Far,Female,66
S0172,C135,9,5.9,4,44.9,5,86,115.7,Laptop,95.4,Inactive,22,95,Medium,High,No,9,88,Low,Yes,0,Low,High,Public,Positive,2,No,Postgraduate,Near,Male,72
S0173,C199,10,16.6,34,92.4,5,6,102.6,Mobile,16.8,Inactive,22,79,Medium,Medium,No,9,94,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,High School,Near,Male,68
S0174,C183,10,18.6,22,95.3,3,5,100.1,Mobile,90.1,Inactive,25,82,Medium,Medium,No,6,86,Medium,No,3,Low,High,Public,Positive,3,No,High School,Near,Female,69
S0175,C144,12,12.2,28,43.7,7,51,83,Laptop,61.5,Inactive,20,97,Medium,Medium,Yes,7,76,Low,Yes,2,Low,Low,Private,Positive,3,No,Postgraduate,Near,Male,71
S0176,C115,13,19.8,42,56.6,3,73,41.6,Mobile,63.6,Inactive,29,96,Medium,Medium,Yes,9,55,Low,No,0,Medium,Medium,Public,Neutral,2,No,Postgraduate,Far,Female,70
S0177,C138,3,5.8,10,88.4,7,24,71.8,Laptop,63.2,Inactive,18,78,Medium,Medium,No,9,91,High,Yes,2,High,Low,Public,Neutral,4,No,College,Far,Female,67
S0178,C156,7,5.9,17,84.9,7,15,79.7,Tablet,33.4,Inactive,36,71,Medium,Medium,Yes,6,56,Medium,Yes,2,High,Medium,Public,Positive,2,No,High School,Far,Male,69
S0179,C121,1,25.6,46,51.1,4,6,72.5,Mobile,93.8,Inactive,24,76,Low,High,No,8,69,Low,Yes,2,Medium,Medium,Public,Neutral,1,No,High School,Moderate,Male,65
S0180,C159,4,14,11,52.6,3,71,46,Mobile,95,Inactive,15,76,High,High,No,8,53,Medium,Yes,1,Low,Medium,Public,Neutral,4,No,College,Near,Male,65
S0181,C101,13,8.2,8,62.2,1,91,71.5,Mobile,64.4,Inactive,14,71,Medium,Medium,Yes,8,85,Low,Yes,2,Medium,High,Public,Neutral,4,No,High School,Near,Male,64
S0182,C193,4,18.1,9,69.1,2,16,69.1,Mobile,79.4,Inactive,23,71,Low,Low,Yes,9,75,Low,Yes,1,Low,Medium,Public,Negative,2,No,College,Near,Male,63
S0183,C193,14,24.2,43,77.1,2,24,119.6,Tablet,63.2,Inactive,19,94,Low,Medium,Yes,5,95,Medium,Yes,3,Low,Low,Public,Positive,2,No,High School,Moderate,Male,69
S0184,C134,5,10.4,16,62.1,3,9,109.7,Tablet,51,Inactive,24,63,Medium,Low,Yes,6,57,Medium,Yes,1,Low,High,Private,Neutral,5,No,College,Near,Female,64
S0185,C165,7,20.6,37,67.8,3,41,66.3,Laptop,67.8,Inactive,23,87,High,High,Yes,8,91,High,Yes,0,High,Medium,Private,Positive,3,No,High School,Moderate,Male,72
S0186,C198,7,7.1,6,84.8,9,42,82.3,Mobile,57.5,Inactive,20,67,Low,Medium,Yes,7,76,Medium,Yes,0,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,63
S0187,C123,13,6.3,45,42.2,4,98,94.8,Mobile,61.8,Inactive,15,74,Low,High,Yes,4,68,Low,Yes,3,Low,Medium,Public,Positive,3,No,High School,Near,Female,64
S0188,C165,11,18.3,12,55.1,3,13,23.5,Tablet,79.5,Inactive,11,62,Medium,High,Yes,5,82,Medium,Yes,3,High,Medium,Private,Neutral,4,No,College,Moderate,Male,64
S0189,C114,13,18.5,39,82.8,9,57,109.5,Laptop,50.7,Inactive,17,71,Medium,Medium,Yes,8,90,Medium,Yes,5,Medium,Medium,Public,Positive,1,No,Postgraduate,Far,Male,67
S0190,C181,4,20.9,41,93.7,7,48,106,Tablet,8.9,Inactive,25,91,Medium,Medium,No,8,72,Low,Yes,2,Medium,High,Public,Positive,0,No,Postgraduate,Near,Male,71
S0191,C139,13,23.2,8,70.7,5,90,65.7,Tablet,20.6,Inactive,21,95,Medium,Medium,No,5,62,High,Yes,1,Medium,Low,Public,Positive,4,No,High School,Near,Male,70
S0192,C182,7,29.4,49,71.9,5,28,59.1,Laptop,46.7,Inactive,13,69,Medium,Low,Yes,9,96,Low,Yes,0,High,Medium,Private,Neutral,4,No,High School,Far,Female,61
S0193,C165,11,17.9,26,46.4,7,85,47.3,Mobile,73.9,Inactive,21,79,Medium,High,Yes,7,66,Low,Yes,2,Low,Medium,Public,Negative,4,No,College,Moderate,Male,67
S0194,C178,3,13.1,1,66.8,6,78,67.7,Mobile,61.4,Inactive,22,79,High,Medium,No,5,100,Medium,Yes,4,High,High,Public,Negative,3,No,College,Near,Male,72
S0195,C126,6,24.9,4,72,9,34,24.4,Tablet,66.8,Inactive,15,95,Low,Low,Yes,6,88,Low,Yes,1,Low,Medium,Public,Negative,5,No,High School,Near,Male,66
S0196,C120,12,11.8,28,54.5,9,63,105.2,Tablet,50.5,Inactive,21,91,Medium,High,Yes,5,84,Medium,Yes,1,High,Low,Public,Neutral,2,No,High School,Near,Male,70
S0197,C148,2,16,36,56.2,7,91,23.5,Tablet,63.5,Inactive,20,81,High,Medium,Yes,6,51,High,No,3,Medium,Medium,Public,Neutral,4,Yes,High School,Near,Male,67
S0198,C198,10,7,37,62.6,1,85,52.9,Laptop,36.3,Inactive,13,87,High,Low,Yes,4,72,Medium,Yes,2,Medium,High,Public,Neutral,3,No,High School,Moderate,Female,67
